체로키 원주민들은 영어를 할 줄 아니?,Can Cherokee Indians speak English?
체로키 원주민들은 그들의 고유 언어들 뿐만 아니라 영어도 할 줄 알아.,Cherokee Indians can speak English as well as their languages.
"너는 영국식 영어를 하니, 아니면 미국식 영어를 하니?",Do you speak British English or American English?
나는 미국식 영어를 해. 나는 뉴욕에 살아.,I speak American English. I live in New York.
너의 어머니는 영어를 할 줄 아시니?,Can your mother speak English? Does 
"아니,  못하셔. 우리 어머니는 한국어만 할 줄 아셔.","No, she doesn't. My mother only speaks Korean."
"영어로 말하는 연습을 하렴, 그러면 영어를 잘 하게 될 거야.",Practice speaking English. So you become good at it.
새로운 언어를 배우는 일은 정말 쉽지 ,Learning to speak a new language is not really easy.
그 마을의 대부분의 아이들과 청년들은 영어를 해.,Most children and young adults in the town speak English.
중국인들은 모두 다 같은 중국어를 쓰지 않아.,Chinese people do not all speak the same Chinese language.
고객님의 스웨터에 무슨 문제가 있나요?,What was the problem with your sweater.
저에게 너무 커요.,It's way too large for me.
"그러면, 작은 사이즈를 가져다 드릴게요.","Then, I'll bring you a smaller size."
이봐요 여기 얼룩 좀 보세요. 저는 환불을 받고 싶어요.,"Hey, look at this stain. I want my money back."
"죄송하지만, 안돼요. 저희 가게 정책에 위배된다고요.","I'm sorry, but we can't. It's against our store policy."
어쩜 그렇게 무례하실 수가 있어요? 저는 여기 단골이에요.,How come you're so mean? I'm a regular here.
제가 할 수 있는 건 아무것도 없습니다.,"There;s nothing I can do, sir"
네? 매니저좀 봐야겠어요.,Huh? I need to see your store manager.
그녀는 몇 개의 언어를 할 줄 아니?,How many languages does she speak? 
딱 하나야. 그녀는 이탈리아어밖에 못 해.,Only one. she speaks italian
Natalie는 몇 개의 외국어를 할 줄 아니?,How many foreign languages does Natalie speak?
"그녀는 세 개를 할 줄 알아. 스페인어, 불어, 그리고 영어","She speaks three, Spanish, French, and English"
너는 불어를 할 줄 아니?,Do you speak French?
응 당연하지 나는 세 가지 언어를 할 줄 알아,"Yes, of course, I speak three languages."
너는 태국어를 할 줄 아니 Evan?,"do you speak Thai, evan?"
"농담하니! 나는 일본인이고, 안 일본어 밖에 못 해","You're kidding! I am japenese, I only speak Japenese "
"Lisa, 너는 어떻게 독일어를 그렇게 유창하게 하니?","How do you speak German  so well, Lisa?"
나는 지금 독일어 수업을 듣고 있어.,I'm taking German in class now.
너희들은 어떻게 스페인어를 그렇게 유창하게 하니?,How do you guys speak Spanish so well?
우리는 스페인어로 말하고 쓰는 법을 배워,We learn how to speak and write in spanish.
너의 남동생은 어떻게 중국어를 그렇게 유창하게 하니?,How does your little brother speak Chinese so well?
우리 가족은 집에서 중국어를 써,Our family speaks Chinese at home
"너는 어떻기 스페인어를 그렇게 유창하게 하니, Thomas?",How do you speak Spanish so well?
"내 아버지사 스페인 사람이라, 집에서 스페인어를 써",I speak Spanish at home because my father is spanish
그는 이탈리아에서 왔어. 그는 이탈리아인이야.,He is from Italy. He's Italian.
우리 가족은 인도에서 왔어. 우리는 인도인이야.,Our family is from India. We are Indians.
Henry는 인도에서 왔어 그는 카레라이스를 좋아해.,Henry is from India. He likes curry rice.
그들은 일본에서 왔어. 그들은 초밥과 라면을 좋아해,They are from Jepan. They like sushi and ramen.
"안녕, 다들 만나서 반가워. 나는 프랑스에서 왔어.","Hello, nice to meet you everyone. I'm from Frence."
"이봐, 이쪽은 Will이야 그는 노르웨이에서 왔어.","Hey, this is Will. He is from Norway."
"Rob은 북미 원주민이고, 영어를 할 줄 알아.",Rob is a Native American. He speaks English.
나 새로운 학급친구 Destiny를 소개할게. 그녀는 프랑스인이야.,"Let me introduce my new classmate, Destiny. She is French."
너의 영어선생님은 어디서 오셨니?,Where is your English teacher from?
그는 영국에서 오셨어. 영국식 영어를 하셔.,"He is from England, He speaks British English."
"그래서, 너는 원래 어디 출신이니? Allison?","So, where are you originally from, Allison?"
난 원래 영국 출신이지만 미국에 살아.,I'm originally from England. But I live in the United States.
너의 룸메이트는 중국의 어느 도시에서 왔니?,What city in China is your roommate from?
그녀는 상해에서 왔어. 그 곳은 북경에서 멀어.,She is rom Shanghai. It's far from Beijing.
너의 어머니는 일본의 어느 도시에서 오셨니?,What city in Jepan is your mother from?
그녀는 도쿄에서 오셨어. 그녀의 자매 분들도 거기서 오셨어,"She is from Tokyo. Her sisters are from there, too."
도움이 필요한 것 같군요.,You look like you need some help.
네 고맙습니다. 이 지도를 보기가 힘드네요. 여기가 어디에요?,Thanks. I can't figure out this map. Where am I?
저기 건물 보이세요? 그게 지도상에서 바로 여기에요.,See that building over there? That's right here on your map.
"아, 그렇군요. 미술관에 어떻게 가면 되는지 알려주시겠어요?",I see. Could you tell me how to get the art museum?
미술관은 이 넓은 길 모퉁이에 있어요.,The art museum is at the corner of this wide street.
거기 가는데 얼마나 걸릴까요?,How long will it take to get there?
20분정도 걸어야해요,It takes about 20 minutes on foot.
걷기가 꽤 머네요. 버스나 지하철을 타야겠어요.,It's pretty far. I'd better take a bus or the subway.
지하철역은 바로 저기 있어요,The subway station is right over there.
파리는 프랑스의 수도야,Paris is the capital of France
베트남은 아시아에 있어. 하노이는 그곳의 수도야,Vietnam is in Asia. Hanoi is its capital city
뉴욕은 미국의 수도가 아니야,New York is not the capital of the United States
"애들아, 멕시코의 수도는 어디니?","Class, Where is the capital of Mexico?"
멕시코시티가 그 곳의 수도야.,Mexico City is Its capital city
"Daniel, 이집트의 수도는 어디니?","Daniel, where is the capital of Egypt?"
카이로야. 피라미드와 스핑크스가 그곳에 있어.,It's Cairo. The pyramids and sphinx are there
델리가 인도의 수도니?,is Delhi the capital of India?
"아니, 뉴델리가 인도의 수도야.","No, New Delhi is the capital of India"
이탈리아의 수도는 밀라노 옆에 있니?,Is the capital of Italy next to Milano?
"아니, 밀라노는 로마에서 꽤 멀어.","No, Milano is pretty far from Rome"
"이봐, 너 Chris가 어디에 사는 지 아니?","Hey, do you know where Chris lives?"
Chris는 수도인 서울에 살아. 서울의 겨울은 추워,"Chris lives in Seoul, the capital city. The winter is cold in Seoul"
"지금 중국의 수도, 북경의 날씨는 온화해","The weather is mild in Beijing, the capital of China, now."
"한국의 수도, 서울에는 많은 버스가 있어.","There are many buses in Seoul, the capital of South Korea"
William은 영국의 위대한 수도까지 여행을 해.,William travels all the way to the great capital city of England
이번 주에 Sunshine 해변에 간다면서,"Hey, you're going to the Sunshine beach this week"
"응, 그런데 혼자 여행 계획 세우는게 너무 어려워","Yes, but it's really hard to plan a trip by myself"
"사실, 나 거기 여러번 가봤어. 아무거나 물어봐","Actually, I've been there many time. Ask me anything"
"수상 스키가 재미있다고 들었는데, 너 해봤어?",I heard the water-skiing is fun. Did you try it?
"응 , 그런데 스노클링이 훨씬 재미있는 것 같아.","Yes, but I think going snorkeling is more exciting"
스노클링? 그거 비싸다고 들었는데,Snorkeling? I heard it will cost a lot
"걱정마, 거기서 대여점을 하는 친구가 있어",Don't worry. I have a friend running the rental shop there
정말? 할인 받을 수 있을까?,Really? Do I get any discount?
물론이지. 지금 당장 전화해볼게,"Sure, I will call him right away"
"나는 너보다 키가 크고, 너는 내 여자 형제보다 키가 작아","I'am taller than you, and you're shorter than my sister"
해바라기는 소나무보다 키가 작아,The sunflowers are shorter than the pine trees
"Mike는 Justin보다 키가 커, 그래서 Mike는 더 긴 코트가 필요해",Mike is taller than Justin. So Mike needs a longer coat
Sue는 그녀의 쌍둥이와 키가 비슷해,Sue is about the same height as her sister
저 아파트는 내 친구의 집보다 커,That apartment is bigger than my friend's house
Leo는 다른 새끼고양이들보다 커,Leo is bigger than the other kittens
Julie는 너무 조금 먹어. 그녀의 접시는 항상 그녀의 남자 형제의 접시보다 작아,Julie eats so little. Her plate is always smaller than her brother's plate
그들의 방은 서로 크기가 비슷해,Their rooms are about the same size as each other
너의 아빠가 너의 엄마보다 키가 작으시니?,Is your dad shorter than your mom?
"아니, 내 엄마가 아빠보다 훨씬 키가 작으셔","No, my mom is much shorter than my dad"
씨어스 타워가 에펠탑보다 높니?,Is the Sears Tower taller than the Eiffel Tower?
"웅, 씨어스 타워는 103층까지도 올라갈 수 있어","Yes, you can go up to the 103rd floor in the Sears Tower"
어머니께 드릴 너의 선물이 너의 남자 형제의 선물보다 크니?,Is your gift bigger than your brother's gift for your mom?
"아니, 내 남자 형제의 선물이 크기로는 내 것보다 훨씬 커","No, my brother's gift is much bigger than min in size "
그 꽃 가게가 그 장난감 가게보다 더 작니?,Is the flower shop smaller than the toy shop?
"응, 그 것은 그 장난감 가게보다 훨씬 작아","Yes, it's much smaller than the toy shop"
오늘 시험 준비 됐어?,Are you ready for the test?
오늘? 내일인 줄 알았는데,Today? I thought it was tomorrow
강의시간표 안 봤어? 오늘이잖아,Didn't you check the course syllabus? It's today
"오, 이런 시험에 뭐가 나오지?",ohm no. What's on the test?
이번 학기에 했던 모든 것이 나와,Everything we covered this semester
"에이, 시험 준비 어떻게 했어?","Gees, how did you study for the test?"
몇몇 챕터랑 작년 시험을 훑어봤어,I reviewed a couple of chapters and last year's test
지금 당장 노트를 훑어봐야겠다,I'd better look over my notes right now
내 아빠 책상은 내 책상보다 좋아,My dad's desk is better than my desk
Jenny의 새 바이올린은 내 바이올린 보다 훨씬 좋아,Jenny's new violin is much better than my violin  
Kim의 시험 성적은 예전보다 안 좋아,Kim's test score is worse than before
싼 옷들은 비싼 옷들보다 훨씬 더 안 좋아,Cheap clothes are much worse than expensive clothes
나는 딸기보다 오렌지를 더 좋아해,I like oranges better than strawberries
그녀는 주택보다 아파트를 더 좋아해,She likes an apartment better than a house
그들은 화학보다 사회학을 더 좋아해,They like social studies better than chemistry
내 할머니께서는 추운 겨울보다 따뜻한 봄을 더 좋아하셔,My grandmother likes warm spring better than cold winter
너의 노트북 컴퓨터는 내 것보다 좋니?,Is your laptop better than mine?
"아니, 내 것이 너의 것보다 더 안 좋아","No, mine is worse than yours"
"Tyler, 어제보다 날씨가 더 안 좋니?","Tyler, is the weather worse than the yesterday?"
"응, 오늘은 어제보다 날씨가 더 안 좋아","Yes, today, the weather is even worse than yesterday"
너는 수영을 하이킹보다 더 좋아하니?,Do you like swimming better than hiking? 
"아니, 나는 하이킹을 그 어떤 운동보다 더 좋아해","No, I like hiking better than any other sports"
"너는 쇼핑하는 걸 좋아하니, Ted?","Do you like shopping, Ted?"
"응, 나는 영화를 보러가는 것보다 쇼핑 하는 걸 더 좋아해","Yes, I like shopping better than going to movies"
너 슬퍼보인다. 무슨 일이야?,"You look sad, what's the problem"
내 전공에 관해 부모님과 다퉜어,I argued with my parents about my major
너 항상 디자이너가 되고 싶어했잖아. 맞지?,You've always wanted to be a designer
"응, 그런데 우리 부모님은 법학을 공부하라고 하셔","Yes, but my parents push me to study law"
법? 어렵고 지루할 것 같아,Law? That sounds really difficult and boring
"게다가, 디자인을 선택하면, 학비를 내주지 않으실 거야","Moreover, they won't pay for the tuition if I choose design"
그럼 법학을 전공하고 디자인을 부전공 하는 건 어때?,How about doing a major in law with a minor in design?
말도 안돼! 그건 나에게 너무 무리야,No way! That's too much for me
수학이 경제학보다 더 재미있어,Math is more fun than economics
항공우편이 훨씬 더 빠르고 더 비싸,Air mail is much faster and more expensive
아이들의 표가 어른들의 표보다 덜 비싸,Child tickets are less expensive than adult tickets
데스크톱 컴퓨터가 노트북 컴퓨터보다 덜 편리해,Desktop computers are less convenient than laptop computers
요즘 나는 집에서 식사를할 시간이 적어,"These days, I have less time to eat meals at home"
하얀 컵에 파란 컵보다 주스가 더 들어있어,The white cup has more juice than the blue cup
쿠키가 과일보다 비타민을 더 가지고 있어,Cookies have more vitamins than fluits
Sam은 Julia보다 친구를 더 많이 가지고 있어,Sam have more friends than Julia
배드민턴과 테니스 중에 뭐가 더 재미있니?,"Which is more fun, badminton or tennis?"
배드민턴이 테니스보다 훨 씬 더 재미있어,Badminton is way more fun than tennis
유령과 괴물 중에 뭐가 덜 무섭니?,"Which is less scary, ghosts or monsters?"
유령이 괴물보다 덜 무서워,Ghosts are less scary than monsters
Sam이 너보다 형제자매들이 더 많니?,does Sam have more siblings than you?
"응, Sam이 형제자매들이 더 많고 더 큰 집에 살아","Yes, Sam has more sibilings and he lives in a bigger house"
빠르게 걷기가 수영보다 더 많은 칼로리를 소모시키니?,Does fast walking burn up more calories than swimming?
"아니, 수영이 빠르게 걷기보다 더 많은 칼로리를 소모시켜","No, swimming burns up more calories than fast walking"
"아, 거의 잊고 있었네. 6번에서 야구게임을 하고 있어","oh, I almost forgot. There's a baseball game on channel 6"
정말? 무슨 팀들이 경기해?,Really? Which teams are playing?
"이건 큰 시합이야, New York이랑  Boston",This is a big match. New York and Boston
Boston은 내가 제일 좋아하는 팀이야. 넌 무슨 팀을 응원해?,Boston is my favorite team. Which team do you support?
New York이지. 작전에 챔피언 전에서 우승했잖아,New York. They won the championship last year
"하지만 이번 시즌은 아닐거야, 봐! 홈런이야!",But not for this season. Look! It's a homerun!
"오, 안돼. Boston이 이제 게임에서 앞서고 있네","Oh, no. Boston is now ahead of the game"
"이봐, 왜 그래. 이제 겨우 첫 회잖아","Hey, come on. It's only the first inning"
체로키 원주민들은 그들의 고유 언어들 뿐만 아니라 영어도 할 줄 알아.,Cherokee Indians can speak English as well as their languages.
"너는 영국식 영어를 하니, 아니면 미국식 영어를 하니?",Do you speak British English or American English?
나는 미국식 영어를 해. 나는 뉴욕에 살아.,I speak American English. I live in New York.
너의 어머니는 영어를 할 줄 아시니?,Can your mother speak English? Does 
"아니,  못하셔. 우리 어머니는 한국어만 할 줄 아셔.","No, she doesn't. My mother only speaks Korean."
"영어로 말하는 연습을 하렴, 그러면 영어를 잘 하게 될 거야.",Practice speaking English. So you become good at it.
새로운 언어를 배우는 일은 정말 쉽지 않아.,Learning to speak a new language is not really easy.
그들은 화학보다 사회학을 더 좋아해,They like social studies better than chemistry
내 할머니께서는 추운 겨울보다 따뜻한 봄을 더 좋아하셔,My grandmother likes warm spring better than cold winter
너의 노트북 컴퓨터는 내 것보다 좋니?,Is your laptop better than mine?
"아니, 내 것이 너의 것보다 더 안 좋아","No, mine is worse than yours"
"Tyler, 어제보다 날씨가 더 안 좋니?","Tyler, is the weather worse than yesterday?"
"응, 오늘은 어제보다 날씨가 더 안 좋아","Yes, today, the weather is even worse than yesterday"
 배는 기차보다 느려,A boat is slower than a train
기차는 비행기만큼 빠르지 않아,Trains are not as fast as airplane
나는 내 여자 형제보다 빨리 먹을 수 있어,I can eat faster than my sister
내 여자 형제는 우리 할머니가 드시는 것 만큼 느리게 먹어,My sister eats as slow as my grandmother eats
내 철학 시험 성적은 예전보다 안 좋아,My philosophy test score is worse than before
자전거로 가는게 지하철로 가는 것 보다 느려,It's slower to go by bicycle than to go by subway
"Gavin은 친절해, 하지만 Celine만큼 친절하지는 않아","Gavin is nice, but he's not as nice as Celine"
이 큰 공책은 영어사전만큼 두꺼워,This huge notebook is as thick as the English dictionary
Hilary의 수학과 과학 성적은 대략 비슷해,Hilary's grades for math and sciense are about the same
이 간식들의 맛은 대략 비슷해,The flavors of these snacks are about the smae
Joseph은 우리 가족들 중에서 가장 어려,Joseph is the youngest of our family
CN타워는 캐나다의 모든 건물들 중에서 가장 높은 건물이야,The CN tower is the heighest one of all the buildings in Canada
 노란색 펜든 초록색 펜보다 짧아,The yellow pen is shorter than the green pen
초록색 펜이 색색의 펜들 중에서 가장 길어,The green pen is the longest of all the colored pens
컴퓨터 화면은 휴대폰 화면보다 넓어,The computer screen is wider then the cellphone screen
하지만 영화관 화면이 가장 큰 화면이야,But the movie theater screen is the widest screen ever
 저 쪽에 있는 놀이기구 타자,Let's go on a ride over there
롤러코스터 말하는 거야? 너무 무서워 보여,You mean the roller coster? It looks so scary
왜그래. 재미있을거야. 줄 서자,Come on. It will be exciting. Let's stand in line
"사실, 나 고소공포증이 있어. 범퍼까는 어때?","Actually, I have a fear of heights. How about the bumper car?"
농담이지? 그건 어른용이 아니라 어린애들용이잖아,"Are you kidding? That's for young kids, not for us"
그럼 나는 동물원이나 구경하는 게 낫겠어,I'd better look around the zoo than
" 좋아, 삼십 분 후에 여기서 만나자","Alright, let's meet up here in half an hour"
"좋아, 이따가 사진 찍을 거야","Fine, we'll take a picture later"
 Abigail은 몸무게가 적게나가 그녀는 작은 사이즈를 입어,Abigail is light in weight. She wears a small size
그 소년은 몸무게가 많이나가 그는 큰 사이즈를 입어,The boy is heavy in weight. He wears a large size
그 소녀는 정말 말랐어 그녀는 특소 사이즈를 입어,The girl is really skinny. She wears an extra small size
Samatha는 더 큰 사이즈의 긴 치마를 원해,Samatha wants a larger size for the long skirt
그들은 모두 이 티셔츠의 중간 사이즈를 원해,They all want a medium size for this T-shirt
저것들은 제 발에 너무 헐렁해요 한 치수 작은 걸 원해요,Those are too loose on my feet. I want to go one size down
 Lily는 어떤 사이즈를 입니?,What size does Lily wears?
그녀는 나보다 키가 커 그녀는 큰 사이즈를 입어,She is taller than me. She wears a large size
그녀는 나보다 말랐어 그 소녀는 어떤 사이즈를 입니?,She is skinnier than me. What size does the girl wear?
응 그녀는 정말 말랐지 그녀는 제로 사이즈를 입어,"Yes, she is really skinny. She wears a size zero"
"저기요, 저희 아빠가 이 신발을 중간 사이즈로 신어보고 싶어 하세요","Hey, my dad wants to try on a medium size for these shoes"
"음, 그는 더 큰 사이즈가 필요하실 거에요 그의 큰 발을 보세요","Umm, he needs a larger size. Look at his big feet"
" 실례지만, 저는 이 재킷의 더 작은 사이즈를 원해요","Excuse me, I want a smaller size for this jacket"
"알겠습니다, 손님. 여기 당신을 위한 특소 사이즈입니다","No problem, ma'am. Here is an extra small size for you"
특대 사이즈보다 더 큰 치마가 있나요?,Do you have any skirts that are bigger than extra large
"죄송합니다, 다음 주 월요일에나 새 물건이 입점해서요","Sorry, we're expecting a new shipment next Monday"
 이 민소매 셔츠는 그녀에게 너무 작네요. 더 큰 사이즈로 주세요,This tank top is too small for her. Give me a larger size
이 반바지는 저에게 너무 크네요. 더 작은 사이즈로 주세요,These shorts are too big for me. Give me a smaller size
이 모자는 저에게 너무 작네요. 더 큰 사이즈로 주세요,This hat is too small for me. Give me a larger size
저 바지는 저에게 너무 헐렁해요. 다른 사이즈로 주세요.,Those pants are too loose for me. Give me another size
당신은 더 큰 사이즈가 필요해요 단추가 떨어지려고해요 ,You need a larger size. The button is going to fall off
"어머, 당신 말이 맞네요 제 허리에 너무 꽉 껴요","Oops, you're right. It's too tig"
 이 보라색 카디건은 나에게 잘 맞아. 내 사이즈야,This purple cardigan fits me well. It's my size
그건 제 딸에게 딱 맞을 거에요,It's going to fit my daughter just right
"저 비싼 힐은 나에게 딱 맞지만, 나는 가난해",The expensive heels are a perfect fit for me. I'm poor
빨간 무릎양말은 나에게 잘 맞지 않아,The red knee-socks don't fit me right
"내 생일날 입을 새 드레스가 있지만, 나한테 맞지 않아",I have a new dress for my birthday. It doesn't fit me
이 검정색 청바지는 저에게 맞는 사이즈가 아니에요,These black jeans are not the right size for me 
이 청바지가 잘 맞으시나요 손님?," do these jeans fit you okay, sir?"
이 검정색 청바지는 저에게 딱맞아요 감사합니다,These black jeans fit me perfect. Thanks
"이 사이즈가 잘 맞니, Jenny?","Does this size fit you well, Jenny?"
"아니, 이건 나한테 너무 커. 더 작은 사이즈로 갖다 줘","No, it's too large for me. Give me a smaller size"
 너 오늘 우울해 보인다 무슨 일이야?,You'are looking down today. What's wrong?
고향에 있는 가족들이 보고싶어,I miss my family back home
그럼 친구들과 어울려보는 건 어때?,Why don'y you hang out with friends then?
"그러고 싶은데, 여기서 친구 사귀기가 쉽지 않아","I want to., but it's not easy to make friends here"
"음, 동아리에 가입하는 건 어때? 나 거기서 친구 많이 사귀었는데",How about joining a club? I made a lot of friends there
그랬어? 어떻게 가입해?,You did? How can I join a club?
학생 활동회에서 다양한 정보를 얻을 수 있어, You can get a variety of infomation at the student activity council
좋아. 당장 들러봐야겠다,Cool. I'll stop by there right away
 나는 보통 머리를 말린 후에 화장을 해,I usually put on makeup after I dry my hair
그녀는 매일 아침마다 자연스러운 화장을 해,She wears natural makeup every morning
나는 피부가 건성이야. 나는 로션을 듬뿍 발라줘야해,I have dry skin type. I need to put on a lot of lotion
Eva는 추운 계절에 짙은 화장을 해,Eva puts on heavy makeup in cold seasons
너는 매일 화장을 하니?,Do you wear makeup every day?
"아니, 안 해. 나는 밤에 외출할 때만 화장을 해","No, I don't. I only put on makeup for a night out"
 너는 짙은 화장을 자주 하니?,Do you wear heavy makeup often?
"아니, 안 해. 나는 화장을 너무 진하게 하는 것을 좋아하지 않아","No, I don't. I don't like to put on too much makeup"
"저기요, 어떤 립스틱이 색이 더 옅나요?","Hey, which lipstick is lighter in color, ma'am?"
밝은 분홍색이 주황색보다 훨씬 더 옅어요,The light pink one is lighter than the orange one
"저기요, 더 옅은 색의 아이섀도가 있나요?","Hey, do you have a lighter color eye shadow, ma'am?"
물론 있죠. 여기 밝은 보라색으로 된 것이 있어요.,Of course. we have a light violet one here
" 이봐, Julie! 여기 더 짙은 색의 립스틱이 있어","Hey, Julie! They have a darker color lipstick here"
"오, 좋았어. 나는 분홍색보다 더 짙은 어떤 것을 사고 싶어","Oh, that's nice. I want to buy something darker than pink"
아이보리색 파운데이션은 베이지색으로 된 것 보다 색이 더 옅어,The ivory foundation is lighter than the beige one
검은색 아이섀도는 갈색으로 된 것보다 색이 더 짙어,The black eye shadow is darker than the brown one
 두개의 향수는 달라,The two perfumes are different
남자들의 스킨로션이 여자들 것 보다 더 강해,Men's skin lotion is stronger than women's one
우리는 립스틱 할인행사를 해. 이 것들은 지금 덜 비싸,We'are having a sale in lipsticks. These are less expensive now
우리는 무료 향수 샘플을 나누어줘. 하나가 다른 것들보다 향이 옅어,We'are giving away free perfume samples. One is lighter than another
이 파우더들의 가격은 같아,The prices of these powders are the same
두 개의 아이라이너는 색이 다르지 않아,The two eyeliners are not different in color
 이 파란색 아이섀도와 저 초록색 아이섀도는 같은 가격이야,The blue eye shadows and that green eye shadow are the same price
저 블러셔들은 다른가요?,Are those blushers different?
"네, 달라요. 분홍색으로 된 것이 더 싸요","Yes, they are different. The pink one is cheaper"
이 헤어 왁스들은 같은 가격인가요?,Are these hair waxes the same price?
"네, 둘 다 20불이에요. 같은 가격이에요","Yes, they are both twenty dollars. They are the same price"
화장품들의 가격이 같은가요 다른가요?,Are the prices for cosmetics the same or different?
" 달라요, 상표가 다르면 가격이 같지 않아요",They are different. The prices are not the same for different brands
이 매니큐어들은 서로 다른가요?,Are these nail polishes different from each other?
"아니요, 같아요. 색이 옅어요","No, they are the same. They are both light in color"
 오늘 날씨 정말 좋지 않니?,Isn't the weather great today?
"응, 정말 좋다. 화창하고 따뜻해","Yes, it really is. It's sunny and warm"
저기 저 푸르른 나무들 좀 봐," Hey, look at the green trees over there"
"우와, 정말 아름답다. 여기 너무 편하다","Wow, it's so beautiful. It's so relaxing here"
나뭇가지 위에 다람쥐들 보이니?,Can you see squirrels on the branch?
"오, 공공장소에서 다람쥐를 보다니 놀라워","Oh, it's so amazing to see squirrels in the public place"
 이곳에서 야생돌물을 보는 건 매우 흔한 일이야,It's very common to see wild animals here
정말? 가까이 가서 보자,Really? Let's take a closer look
